Date,Open,High,Low,Close,Volume,Adj Close,ClosePrice,Fast10DayEMA,Slow40DayEMA,APO,Trades,Position,Pnl
2014-04-03,569.85,587.28,564.13,569.74,4959598.0,569.74,569.74,569.74,569.74,0.0,0,0,0.0
2014-04-04,574.65,577.77,543.0,543.14,6348310.0,543.14,543.14,564.9036363636363,568.4424390243903,-3.5388026607539587,0,0,0.0
2014-04-07,540.74,548.48,527.15,538.15,4361913.0,538.15,538.15,560.0393388429752,566.964759071981,-6.925420229005795,0,0,0.0
2014-04-08,542.6,555.0,541.61,554.9,3138698.0,554.9,554.9,559.1049135987979,566.3762342392015,-7.271320640403587,0,0,0.0
2014-04-09,559.62,565.37,552.95,564.14,3314667.0,564.14,564.14,560.020383853562,566.2671496421673,-6.24676578860533,0,0,0.0
2014-04-10,565.0,565.0,539.9,540.95,4018339.0,540.95,540.95,556.5530413347325,565.0321667327933,-8.479125398060773,0,0,0.0
2014-04-11,532.55,540.0,526.53,530.6,3910723.0,530.6,530.6,551.8343065465994,563.3525488433887,-11.518242296789367,1,10,0.0
2014-04-14,538.25,544.1,529.56,532.52,2555836.0,532.52,532.52,548.3226144472177,561.8485220705405,-13.525907623322837,0,10,19.19999999999959
2014-04-15,536.82,538.45,518.46,536.44,3835273.0,536.44,536.44,546.1621390931781,560.6090819695386,-14.446942876360481,0,10,58.40000000000032
2014-04-16,543.0,557.0,540.0,556.54,4250338.0,556.54,556.54,548.0490228944184,560.4105901661464,-12.361567271728063,1,20,259.40000000000055
2014-04-17,548.81,549.5,531.15,536.1,6770387.0,536.1,536.1,545.8764732772514,559.2247077190174,-13.348234441765953,-1,10,-74.69999999999914
2014-04-21,536.1,536.7,525.6,528.62,2553007.0,528.62,528.62,542.7389326813875,557.731795147358,-14.992862465970461,1,20,-124.53333333333148
2014-04-22,528.64,537.23,527.51,534.81,2351618.0,534.81,534.81,541.2973085574988,556.6136587987063,-15.316350241207488,0,20,-62.633333333332075
2014-04-23,533.79,533.87,526.25,526.94,2012651.0,526.94,526.94,538.6868888197718,555.1661632475499,-16.479274427778137,0,20,-141.33333333333098
2014-04-24,530.07,531.65,522.12,525.16,1871147.0,525.16,525.16,536.2274544889042,553.7024479671816,-17.474993478277383,0,20,-159.13333333333185
2014-04-25,522.51,524.7,515.42,516.18,2088059.0,516.18,516.18,532.5824627636489,551.8720846517093,-19.289621888060424,1,30,-304.9499999999978
2014-04-28,517.18,518.6,502.8,517.15,3317684.0,517.15,517.15,529.7765604429854,550.1783244247966,-20.4017639818112,0,30,-285.5499999999972
2014-04-29,516.9,529.46,516.32,527.7,2685874.0,527.7,527.7,529.3990039988063,549.0818207943188,-19.682816795512508,1,40,-85.1199999999983
2014-04-30,527.6,528.0,522.52,526.66,1729261.0,526.66,526.66,528.9010032717506,547.9880734384983,-19.087070166747708,0,40,-116.32000000000062
2014-05-01,527.11,532.93,523.88,531.35,1896321.0,531.35,531.35,529.3462754041595,547.176460100035,-17.83018469587546,0,40,24.38000000000102
2014-05-02,533.76,534.0,525.61,527.93,1680152.0,527.93,527.93,529.0887707852214,546.2376083878381,-17.14883760261671,0,40,-78.22000000000116
2014-05-05,524.82,528.9,521.32,527.81,1020439.0,527.81,527.81,528.8562670060902,545.3387006616022,-16.482433655511954,0,40,-81.8200000000013
2014-05-06,525.23,526.81,515.06,515.14,1612592.0,515.14,515.14,526.3624002777102,543.8655933122557,-17.50319303454546,1,50,-489.8999999999944
2014-05-07,515.79,516.68,503.3,509.96,3207835.0,509.96,509.96,523.3801456817629,542.21166193117,-18.831516249407173,0,50,-697.0999999999947
2014-05-08,508.46,517.23,506.45,511.0,2009809.0,511.0,511.0,521.1292101032606,540.6891418369667,-19.559931733706094,0,50,-655.4999999999939
2014-05-09,510.75,519.9,504.2,518.73,2426746.0,518.73,518.73,520.6929900844859,539.6179641863829,-18.924974101896964,0,50,-346.29999999999313
2014-05-12,523.51,530.19,519.01,530.17,1902605.0,530.17,530.17,522.4160827963975,539.1570878846081,-16.741005088210613,1,60,112.78571428571695
2014-05-13,530.89,536.07,529.51,533.09,1644062.0,533.09,533.09,524.3567950152343,538.8611323780419,-14.504337362807632,-1,50,220.6714285714338
2014-05-14,533.0,533.0,525.29,526.65,1185361.0,526.65,526.65,524.7737413761008,538.2654673839911,-13.491726007890293,-1,40,53.75714285714707
2014-05-15,525.7,525.87,517.42,519.98,1693474.0,519.98,519.98,523.9021520349916,537.3734933652598,-13.471341330268274,1,50,-47.812499999994316
