Date,StatArbTradingSignal,ClosePrice,FinalStatArbTradingSignal,Trades,Position,Pnl
2014-01-01,0.0,0.9416816830635071,0.0,0,0,0.0
2014-01-02,0.0,0.9394522905349731,0.0,0,0,0.0
2014-01-03,9.79196587563326e-06,0.9372861385345459,0.000608094584206144,0,0,0.0
2014-01-06,0.0010039536663085057,0.9406895041465759,0.00032965683648290367,0,0,0.0
2014-01-07,0.002286506811241338,0.938007116317749,0.0015981942920654244,0,0,0.0
2014-01-08,0.008498547147368021,0.9282465577125549,0.007386905316672026,0,0,0.0
2014-01-09,0.011264559967763857,0.9240180253982544,0.007394589186535749,0,0,0.0
2014-01-10,0.011837822646581082,0.9221009016036987,0.009789651602743301,0,0,0.0
2014-01-13,0.012460932055902287,0.9170862436294556,0.013181820895894746,1,1000000,0.0
2014-01-14,0.005282040649727467,0.918948769569397,0.008842521761025136,0,1000000,1862.5259399414062
2014-01-15,0.008565234402086223,0.9134755730628967,0.013516080381682238,-1,0,-3610.670566558838
2014-01-16,0.010060981288687178,0.9133921265602112,0.013546348239306043,1,1000000,-3610.670566558838
2014-01-17,0.006706460337613503,0.9147457480430603,0.010068608646777426,0,1000000,-2257.049083709717
2014-01-20,0.01538195459816296,0.9119926691055298,0.013847626032811908,-1,0,-5010.128021240234
2014-01-21,0.010234293845173695,0.913041889667511,0.010679410631208008,1,1000000,-5010.128021240234
2014-01-22,0.010978849139323297,0.9117432832717896,0.011040630659834053,0,1000000,-6308.73441696167
2014-01-23,0.021212728058609465,0.9007385969161987,0.0191619633393104,1,2000000,-17313.42077255249
2014-01-24,0.02164705863777768,0.8998551368713379,0.01627474725819228,0,2000000,-19080.34086227417
2014-01-27,0.01685754715208255,0.90399569272995,0.012494062271835561,0,2000000,-10799.229145050049
2014-01-28,0.01902307021871054,0.8997175097465515,0.014916506785570119,0,2000000,-19355.595111846924
2014-01-29,0.019866016516591478,0.8971828818321228,0.01652267872285589,0,2000000,-24424.850940704346
2014-01-30,0.01825631081030489,0.8943743705749512,0.015602769974642444,0,2000000,-30041.873455047607
2014-01-31,0.012819282306716365,0.8963866829872131,0.01452253433546924,0,2000000,-26017.24863052368
2014-02-03,0.00801508033040205,0.8990946412086487,0.010927586397480317,0,2000000,-20601.332187652588
2014-02-04,0.006612273653146915,0.9003331065177917,0.009517588295687825,0,2000000,-18124.401569366455
2014-02-05,0.005104584130329039,0.9022827744483948,0.00864399245935788,0,2000000,-14225.0657081604
2014-02-06,0.003696462630657952,0.9027307033538818,0.007599995109859788,0,2000000,-13329.20789718628
2014-02-07,0.0021849193054546776,0.9034321904182434,0.005964839211724401,0,2000000,-11926.233768463135
2014-02-10,-0.0006453667329313226,0.906051516532898,0.0012451107839944434,0,2000000,-6687.581539154053
2014-02-11,0.0001520494655072534,0.9044862389564514,0.00257044115870306,0,2000000,-9818.13669204712
2014-02-12,-0.003171141256516011,0.9083972573280334,-0.0001378926449200479,0,2000000,-1996.0999488830566
2014-02-13,-0.003754039188457181,0.9095953106880188,-0.0020704644613810568,-1,1000000,-2305.060625076294
2014-02-14,-0.003948607481786782,0.9109708070755005,-0.00320000850305829,-1,0,1775.503158569336
2014-02-17,-0.0023814713402919565,0.9113277792930603,-0.0001710918073707238,0,0,1775.503158569336
2014-02-18,-0.0037731158514381956,0.9127418398857117,-0.002548844625967898,0,0,1775.503158569336
2014-02-19,-0.0070292709840633185,0.9131252765655518,-0.0036387437736441126,0,0,1775.503158569336
2014-02-20,0.0015297896430610963,0.9033423662185669,0.0048889267084663065,0,0,1775.503158569336
2014-02-21,0.005982751670435363,0.9006006717681885,0.007733340878298183,0,0,1775.503158569336
2014-02-24,0.004939203419697511,0.8999280333518982,0.006999099601385226,0,0,1775.503158569336
2014-02-25,0.0034770178924323812,0.9042572379112244,0.004341967995840598,0,0,1775.503158569336
2014-02-26,0.005394048314158346,0.9022095203399658,0.005664211223506562,0,0,1775.503158569336
2014-02-27,0.008461521532495462,0.897988498210907,0.007796119207261344,0,0,1775.503158569336
2014-02-28,0.01008498514352751,0.8990380167961121,0.0072484881225435786,0,0,1775.503158569336
2014-03-03,0.004607329789240978,0.9039629697799683,0.0016505073777606024,0,0,1775.503158569336
